Date,AlphaCore_net_rolling_CAGR,AlphaCore_net_rolling_volatility,AlphaCore_net_rolling_Sharpe,AlphaCore_net_rolling_max_drawdown,AlphaCore_net_rolling_beta_vs_SPY,SPY_rolling_CAGR,SPY_rolling_volatility,SPY_rolling_Sharpe,SPY_rolling_max_drawdown
2006-01-31,,,,,,,,,
2006-02-28,,,,,,,,,
2006-03-31,,,,,,,,,
2006-04-30,,,,,,,,,
2006-05-31,,,,,,,,,
2006-06-30,,,,,,,,,
2006-07-31,,,,,,,,,
2006-08-31,,,,,,,,,
2006-09-30,,,,,,,,,
2006-10-31,,,,,,,,,
2006-11-30,,,,,,,,,
2006-12-31,,,,,,,,,
2007-01-31,,,,,,,,,
2007-02-28,,,,,,,,,
2007-03-31,,,,,,,,,
2007-04-30,,,,,,,,,
2007-05-31,,,,,,,,,
2007-06-30,,,,,,,,,
2007-07-31,,,,,,,,,
2007-08-31,,,,,,,,,
2007-09-30,,,,,,,,,
2007-10-31,,,,,,,,,
2007-11-30,,,,,,,,,
2007-12-31,,,,,,,,,
2008-01-31,,,,,,,,,
2008-02-29,,,,,,,,,
2008-03-31,,,,,,,,,
2008-04-30,,,,,,,,,
2008-05-31,,,,,,,,,
2008-06-30,,,,,,,,,
2008-07-31,,,,,,,,,
2008-08-31,,,,,,,,,
2008-09-30,,,,,,,,,
2008-10-31,,,,,,,,,
2008-11-30,,,,,,,,,
2008-12-31,0.10078137735677761,0.07097017608198754,1.3919353698760542,-0.034557258788379785,,,,,
2009-01-31,0.07507842463569969,0.08356880859558581,0.9091565600557545,-0.06842630323238852,0.17587799873559357,-0.11630579948548403,0.15679119020230373,-0.7037353142489158,-0.4486009335258684
2009-02-28,0.07409427252142065,0.08365129993268333,0.8973230203473321,-0.07066983332755306,0.16774903037420186,-0.15078067295253816,0.16641832915479945,-0.8897116048494389,-0.5078482192613465
2009-03-31,0.0804427309364224,0.08395624950044055,0.9650039833634348,-0.07066983332755317,0.16774844651283932,-0.1325698013102765,0.17465416052765634,-0.7202540451552647,-0.5078482192613465
2009-04-30,0.07091598301419522,0.0857944652518196,0.8422324939223005,-0.07525387716984344,0.11674091696458315,-0.10848476930935835,0.1854318331855039,-0.522514078851754,-0.5078482192613467
2009-05-31,0.07320758094167168,0.08576304649177545,0.8675869120620617,-0.07525387716984333,0.11282637815873478,-0.08213215052666611,0.1888413513214937,-0.35673306833380375,-0.5078482192613467
2009-06-30,0.06924359992537665,0.08616972156064666,0.8206854335480365,-0.0758623267956432,0.11245630439030596,-0.08312903611824407,0.18880203278552485,-0.3625686257066405,-0.5078482192613465
2009-07-31,0.07956028905473378,0.08791458416510788,0.9159456970360216,-0.0758623267956432,0.12752388991784921,-0.06227004439809003,0.19435833012469725,-0.23193135758383304,-0.5078482192613465
2009-08-31,0.07874422228207467,0.08791724763468856,0.9072616834976008,-0.07586232679564309,0.12566497737938423,-0.05766808562982295,0.1952344896950291,-0.20507901049116675,-0.5078482192613465
